Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, TTF [s], Info
7/27/2016, 20:31:03,32.9301233,35.644115,0,5,2.2,2.4,,
7/27/2016, 21:01:21,32.9301183,35.6439417,16,4,1.7,2,,
7/27/2016, 21:31:52,32.9301383,35.6442317,8,4,1.6,1.9,,
7/27/2016, 22:02:27,32.93008,35.6440933,10,4,1.6,1.9,,
7/27/2016, 22:32:55,32.9301183,35.6439667,8,4,1.6,1.9,,
7/27/2016, 23:03:32,32.93005,35.6441017,2,8,1,1.3,,
7/27/2016, 23:33:45,32.92988,35.6442917,34,5,1.4,1.7,,
7/28/2016, 00:03:58,32.93007,35.6441683,4,6,1.2,1.5,,
7/28/2016, 00:34:15,32.9303417,35.6440633,-26,5,7.7,13.5,,
7/28/2016, 01:04:27,32.9301267,35.6441533,-10,4,3.4,3.5,,
7/28/2016, 01:35:01,32.9301933,35.6442467,-18,4,3.4,3.5,,
7/28/2016, 02:05:32,32.93,35.6440583,2,5,1.8,2,,
7/28/2016, 02:35:45,32.9299783,35.6440667,10,4,1.6,1.9,,
7/28/2016, 03:06:19,32.9300483,35.644095,2,6,1,1.4,,
7/28/2016, 03:36:32,32.93004,35.6440167,-6,6,1.3,1.6,,
7/28/2016, 04:06:44,32.9300417,35.643945,-16,6,1.4,1.7,,
7/28/2016, 04:36:56,32.9299783,35.6440667,8,5,1.8,2,,
7/28/2016, 05:07:18,32.9299567,35.644105,2,5,1.9,2.1,,
7/28/2016, 05:37:56,32.9299683,35.6441117,14,6,1.7,2,,
7/28/2016, 06:08:21,32.929305,35.64434,130,4,2.1,2.3,,
7/28/2016, 06:38:42,32.929995,35.6437717,130,5,2,2.2,,
7/28/2016, 07:09:23,32.9299167,35.643825,50,4,2.9,3.1,,
7/28/2016, 07:40:02,32.9300617,35.6442383,-18,4,1.7,1.9,,
7/28/2016, 08:10:23,32.930065,35.6441683,130,5,1.9,2.1,,
7/28/2016, 08:41:04,32.929685,35.6449967,126,7,1.1,1.4,,
7/28/2016, 09:11:24,32.9295717,35.6445883,126,5,1.3,1.6,,
7/28/2016, 09:42:03,32.9299967,35.64412,10,7,1.1,1.5,,
7/28/2016, 10:12:18,32.9296417,35.6443783,120,8,1,1.3,,
7/28/2016, 10:42:32,32.929945,35.6441283,4,5,1.9,2.1,,
7/28/2016, 11:12:45,32.9890867,35.6962583,308,5,1.4,1.7,,
7/28/2016, 11:46:33,32.9900017,35.6969733,134,3,4,4.1,,
9/17/2016, 11:54:58,32.930075,35.6441067,-10,4,3.9,4,,
9/17/2016, 11:56:03,32.9292667,35.6447067,128,4,3.9,4.1,,
9/17/2016, 11:57:17,32.9307667,35.6441967,122,4,6.1,7.7,,
9/17/2016, 11:58:03,32.9300833,35.644145,6,4,4,4.2,,
9/17/2016, 11:58:46,32.9301233,35.6441133,10,4,4.1,4.2,,
9/17/2016, 11:59:35,32.9313933,35.6439217,122,4,4.1,4.3,,
9/17/2016, 12:00:21,32.9299883,35.64418,-2,4,4.2,4.3,,
9/17/2016, 12:01:06,32.9299483,35.6441983,-4,4,4.2,4.3,,
9/17/2016, 12:01:53,32.9301767,35.6439933,-22,4,4.3,4.4,,
9/17/2016, 12:03:02,32.93026,35.6439217,-26,6,1.3,1.6,,
9/17/2016, 12:03:35,32.9302633,35.6440717,-26,5,1.5,1.8,,
9/17/2016, 12:04:08,32.930195,35.6440633,-26,5,2,2.2,,
9/17/2016, 12:04:43,32.9301933,35.6440033,-26,6,1.3,1.6,,
9/17/2016, 12:05:19,32.9301883,35.6440483,-26,6,1.3,1.6,,
9/17/2016, 12:05:54,32.9301733,35.6440883,-26,6,1.3,1.6,,
9/17/2016, 12:06:29,32.929635,35.64374,-24,5,1.5,1.8,,
9/17/2016, 12:07:04,32.9301667,35.6440717,-26,6,1.3,1.6,,
9/17/2016, 12:07:39,32.92958,35.643465,-28,5,1.5,1.8,,
9/17/2016, 12:08:15,32.9297617,35.6442233,44,6,1.3,1.6,,
9/17/2016, 12:08:51,32.9301967,35.6439917,-12,6,1.3,1.6,,
9/17/2016, 12:09:28,32.9297533,35.6441517,66,5,2.1,3.8,,
9/17/2016, 12:10:08,32.9302083,35.644015,-16,5,1.6,1.8,,
9/17/2016, 12:10:46,32.93063,35.6438333,-96,6,1.3,1.6,,
9/17/2016, 12:11:26,32.93009,35.6440633,2,5,1.4,1.7,,
9/17/2016, 12:12:08,32.930205,35.6440317,-26,6,1.3,1.6,,
9/17/2016, 12:12:50,32.92992,35.6441217,22,5,1.4,1.7,,
9/17/2016, 12:13:33,32.9303383,35.6438467,-56,5,1.5,1.8,,
9/17/2016, 12:14:14,32.93044,35.6438467,-62,6,1.3,1.6,,
9/17/2016, 12:14:50,32.9302917,35.644085,-28,6,1.3,1.6,,
9/17/2016, 12:15:33,32.930205,35.6439983,-26,5,1.5,1.8,,
9/17/2016, 12:16:12,32.9301,35.6441833,6,6,1.3,1.6,,
9/17/2016, 12:16:50,32.930195,35.6439533,-24,6,1.3,1.6,,
9/17/2016, 12:17:28,32.9300267,35.6440767,0,5,1.8,2,,
9/17/2016, 12:18:07,32.93027,35.64382,-52,5,1.8,2,,
9/17/2016, 12:18:52,32.9302817,35.6437567,-64,6,1.3,1.6,,
9/17/2016, 12:19:32,32.9302467,35.6439417,-38,6,1.3,1.6,,
9/17/2016, 12:20:10,32.930555,35.64376,-86,6,1.3,1.6,,
9/17/2016, 12:20:46,32.9301433,35.6439717,-18,6,1.3,1.6,,
9/17/2016, 12:21:25,32.9308533,35.6434967,-128,6,1.3,1.6,,
9/17/2016, 12:22:06,32.9306117,35.6436467,-100,6,1.3,1.6,,
9/17/2016, 12:22:43,32.9303383,35.6438733,-66,5,1.8,2,,
9/17/2016, 12:23:19,32.930275,35.6439717,-44,5,1.8,2,,
9/17/2016, 12:23:59,32.9301983,35.6439767,-54,5,1.8,2,,
9/17/2016, 12:24:35,32.9298467,35.64285,-148,5,1.5,1.8,,
9/17/2016, 12:25:16,32.93006,35.64383,-42,5,1.5,1.8,,
9/17/2016, 12:25:56,32.9299517,35.6434983,-68,5,1.5,1.8,,
9/17/2016, 12:26:36,32.9300867,35.6438267,-42,6,1.3,1.6,,
9/17/2016, 12:27:17,32.930205,35.6439417,-22,5,1.5,1.8,,
9/17/2016, 12:27:57,32.93019,35.644055,-14,5,1.5,1.8,,
9/17/2016, 12:28:37,32.9300083,35.6437367,-30,5,1.5,1.8,,
