Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, TTF [s], Info
7/27/2016, 20:27:02,32.9299,35.64421,128,5,1.6,1.9,,
7/27/2016, 20:57:33,32.928835,35.644195,128,4,2.9,3.1,,
7/27/2016, 21:28:14,32.9306583,35.64438,122,7,1,1.3,,
7/27/2016, 21:58:46,32.9300367,35.64402,-12,5,2,2.2,,
7/27/2016, 22:29:29,32.9300983,35.6442433,128,6,1.3,1.6,,
7/27/2016, 22:59:58,32.9300433,35.6440117,0,4,1.6,1.8,,
7/27/2016, 23:30:29,32.930185,35.6441383,2,6,1.4,1.7,,
7/28/2016, 00:00:59,32.930075,35.6440067,-4,4,1.8,2,,
7/28/2016, 00:31:35,32.929715,35.64433,128,6,1.4,1.6,,
7/28/2016, 01:02:02,32.92977,35.6448,130,5,1.4,1.7,,
7/28/2016, 01:32:31,32.9301567,35.64452,128,6,1.4,1.7,,
7/28/2016, 02:02:55,32.929955,35.6447833,128,6,1.6,1.8,,
7/28/2016, 02:33:37,32.9300867,35.6438683,-8,6,1.8,2,,
7/28/2016, 03:04:27,32.9297833,35.6439,18,4,2.3,2.5,,
7/28/2016, 03:34:55,32.92968,35.6440733,126,7,1.2,1.5,,
7/28/2016, 04:05:12,32.930005,35.6440483,14,5,1.6,1.8,,
7/28/2016, 04:35:29,32.9299683,35.6441,24,5,1.7,2,,
7/28/2016, 05:06:25,32.9297217,35.6442067,22,5,2.1,2.3,,
7/28/2016, 05:37:02,32.92998,35.64405,2,7,1.2,1.5,,
7/28/2016, 06:07:17,32.9300383,35.64399,-34,5,1.4,1.7,,
7/28/2016, 06:37:43,32.92991,35.6440133,52,7,1.1,1.5,,
7/28/2016, 07:08:04,32.929915,35.6440633,38,4,2.7,2.8,,
7/28/2016, 07:38:30,32.9299433,35.6441567,-10,6,2.2,2.3,,
7/28/2016, 08:08:54,32.9299183,35.6443217,-4,4,5,5.1,,
7/28/2016, 08:39:33,32.9299867,35.6441167,10,7,0.9,1.3,,
7/28/2016, 09:09:41,32.9299567,35.644125,54,5,1.3,1.6,,
7/28/2016, 09:39:49,32.9300383,35.644035,0,5,1.3,1.6,,
7/28/2016, 10:10:04,32.930195,35.6440383,-34,5,1.4,1.7,,
7/28/2016, 10:40:32,32.93002,35.6441883,12,9,0.8,1.1,,
7/28/2016, 11:10:38,32.9908717,35.696615,332,7,1.1,1.4,,
7/28/2016, 11:42:17,32.9893983,35.695915,352,6,1.2,1.5,,
7/28/2016, 12:14:24,32.9892,35.695985,398,5,1.4,1.6,,
9/17/2016, 12:03:23,32.9297683,35.6443433,130,3,2.8,3,,
